	Teilnehmer	AufgabeItem	Antwort	gesamt	kein_Noten_geben_dist
2	2292	51.1	keine Noten zu geben	1	0.9048047665606925
195	2770	51.1	Noten sind sehr vergleichbar	0	0.8871138986476087
29	2347	51.1	Noten soolen nicht in Schulen bleiben	1	0.87509902677766
135	2652	51.1	Sie kritisiert klassiche Noten	0	0.8741204978209085
53	2395	51.1	auf Noten zu vezichten	1	0.870682595485528
60	2433	51.1	Statt Noten, den Schuler schriftliche Berichten geben	1	0.8676054904573471
199	2775	51.1	Keine Noten, sonst Hinweise	1	0.8639670267865316
157	2723	51.1	Keine Noten sondern nur Punken wo man sich verbesseren soll.	0	0.8624228464093072
81	2456	51.1	keine Noten nur Hinweise	1	0.8622681183346151
208	2789	51.1	keine Schulnoten für Schuler geben	1	0.8607235998384998
129	2543	51.1	Noten nicht mehr benutzen	1	0.8589177798817931
113	2509	51.1	Keine Noten für Studenten.	1	0.8542329739145794
79	2453	51.1	keine Noten, Berichte über Leistungen	1	0.8522857452129339
204	2783	51.1	Sie kritisiert Schulnoten	0	0.84848116092107
87	2462	51.1	Schulnoten durch Gespräche mit den Schülern ersetzen	1	0.8481836848516778
17	2318	51.1	Das Notensystem soll völlig umgewandelt werden.	0	0.8431091391172757
24	2329	51.1	Die Noten sind sehr subjektiv	0	0.8420970755214883
35	2362	51.1	noten sind nicht vergleichbar	0	0.8409226184879388
108	2504	51.1	Noten sind unterschiedlich	0	0.8401741535688594
139	2659	51.1	Noten sind nicht nötig.	0	0.8400842425018109
203	2782	51.1	Noten sind subjektiv	0	0.8396903945001741
189	2763	51.1	Noten sind subjektiv  sie ist dagegen	0	0.8377670093922065
123	2527	51.1	keine Noten erhalten	1	0.837020233513602
65	2438	51.1	durch Noten keine faire Beurteilung  keine Kombination aus Noten und Kommentaren  Noten ersetzen z.B. durch Berichte	1	0.8358440896724758
92	2477	51.1	Ruckmeldung keine Noten   die Noten sind diemotievioetr	1	0.8340559213421982
34	2361	51.1	Klasischen Schulnoten sind nicht fair	0	0.8336838606224448
153	2715	51.1	notensystem  korretur nicht gleich	0	0.8330796408283235
38	2368	51.1	Noten sind nicht entscheidene für Schüler	0	0.8325856484971017
152	2713	51.1	Gegen tradizionelle Noten	0	0.8315272363680029
178	2749	51.1	Klassische Noten zu geben macht sinn.	0	0.8311372532231202
162	2729	51.1	Schulnoten komplett durch Berichte oder Gespräche ersetzen	1	0.8298660649770219
122	2525	51.1	Schüler sollten keine Note bekommen, aber eine andere Antwort	1	0.8286481567522471
193	2767	51.1	Die Noten nicht mehr verwenden	1	0.8280010344939986
93	2478	51.1	Die Schulnoten sind unnotwendig	0	0.8275588486038887
75	2448	51.1	Sie hält die Noten für unsinvoll	0	0.8253544202446707
116	2518	51.1	die Noten sollrn durch etwas anders ersetz werden	1	0.8248244930024715
184	2756	51.1	sinn und unsinn im Schulnoten	0	0.823895053953243
1	2291	51.1	Sie kritisiert die Schulnoten	0	0.8235992689020896
169	2739	51.1	nicht vergleich alle die Noten für Studenten	0	0.8235880449091924
176	2747	51.1	"Kritik, keine Noten, ""wo kann ich mich verbessern"", entwlickung Gespräche um die schwache Punkten zu wissen"	1	0.8231451805267905
103	2497	51.1	kritische Notgebung für die Schüler  Schulnoten durch schriftliche Berichte ersetzen	1	0.8227283631286076
109	2505	51.1	Schulnoten durch schrifltiche Berichte und Kommentare zu erstezn	1	0.8214997901701824
6	2300	51.1	Fähre Bewertung wäre nötig	0	0.8211446930034825
54	2396	51.1	Beurteilung nicht gegeben ist	0	0.8207582754778108
30	2349	51.1	Die Schulnoten sind sinnlos.	0	0.8173367059828575
42	2374	51.1	wo konnen sie sich verbessern	0	0.8165434112407322
16	2317	51.1	Kritik auf die klassische Notengebung	0	0.8164690322253431
57	2401	51.1	Sie kritisiert	0	0.8156589442789772
12	2311	51.1	gegen Schullnoten	0	0.8153404913419334
102	2489	51.1	Schüler nur Hinweise und Kommentare bekommen	1	0.81430822433562
111	2507	51.1	Sie denkt, dass die klassiche Noteumbegung nicht relevant ist.    Staat Noten, unterstüzt sie Hinweise	1	0.8131714203296071
158	2725	51.1	Noten sind wenig vergleichbar,	0	0.8126840062973549
69	2442	51.1	DAS HEUTIGE NOTENSYSTEM IST NICHT OBJEKTIV, BRAUCHT ÄNDERUNGEN	0	0.8126227691406542
106	2502	51.1	nur hinweise wo sich die kinder verbessern sollen   note demotivieredn schul noten komplet durch schrifftliche berichte erzeugen	1	0.8123250992582614
70	2443	51.1	keine Noten  nur Schriftlliche berichte und Hinweise an Lernende, wo sie sich verbessern können	1	0.8121717716406505
147	2696	51.1	Noten in der Schule sind wenig vergleichbar.	0	0.8110915957180065
15	2316	51.1	Fordert klare Gesprache, hinweise nach besserer Arbeit auch das noten ausfallen.	1	0.8107619008166833
28	2336	51.1	Die Schuler erhalten die Punkten in welchen Bereichen sie noch verbessern müssen	0	0.8095247096064453
27	2335	51.1	schulnoten müssen durch Gespräche mit den Kindern ersetzt werden.	1	0.8092339180071051
59	2406	51.1	klassischen Notensystems sind nicht gut	0	0.8087086945435926
205	2784	51.1	Noten in der Schule sind nicht notwendich	0	0.8081877376364851
181	2752	51.1	Noten muss nicht aufgegeben haben werdern.   Studenten sollen verscheidene Methoden  nutzen können	0	0.8073731717681739
120	2523	51.1	Die Noten sind subjektiv  Schulnoten durch Berichte ersetzen	1	0.8064708428078774
100	2487	51.1	Beurteilung, Kritik über Schulnoten	0	0.8061596619454017
218	2800	51.1	schwer zu sagen	0	0.8058520292373601
105	2501	51.1	notsystem ist nicht genug	0	0.8054918308119537
167	2737	51.1	noten system vergleincehn wenig.  korrektur funktioniert nicht glecih fur jede schuler	0	0.8049279221313221
215	2797	51.1	Durch Schulnote kann einen Studenten beurteilt werden	0	0.8048165740512194
80	2454	51.1	die Schulnoten ersetzen  die Ferien beurteilen	0	0.8038767390066486
138	2658	51.1	Die Noten sind nicht Vergleichbar.	0	0.8037150343372509
192	2766	51.1	Die Noten sind nicht vergleichbar	0	0.8037150343372509
78	2452	51.1	faire Noten geben  durch schriftl Berichte ersetzt werden müssen	1	0.8029582390036571
97	2484	51.1	Schulnoten sind zu subjektive und manchmal gleiche studenten bekommen die gleiche Note nicht.	0	0.8025284634909728
107	2503	51.1	noten spiegeln nicht immer das was schüler können	0	0.8024310100069136
125	2534	51.1	faire Bewertung der Leistungen der Schuler  auf klassische Notensystem verzichten  stattdessen - Entwicklungsgesprache	1	0.8013004742301622
83	2458	51.1	Die Schulnoten sollen ausgelassen werden	1	0.8011939408868548
183	2755	51.1	Noe tsystem nicht gegeben ist.	0	0.800977902364683
217	2799	51.1	erfahren ob, Schulung komplett  wissen welche Bereiche noch zu verbessern.	0	0.7994978965249789
7	2302	51.1	Sie kritiesrt die Schulnotensystem.	0	0.7988675313262975
137	2657	51.1	Nur Hinweise und Rückmeldung bekommen	1	0.7985431904284411
160	2727	51.1	Hinweise geben, wo sie sich verbessern können	0	0.7965093741629021
127	2538	51.1	Die Noten sind vergleichbar  Die Notegebung ist subjektiv.	0	0.7964913286645486
121	2524	51.1	Nöten sollen nicht die Haupt  Keine Noten, sonder Hinweisen	1	0.7964839006776995
191	2765	51.1	Die Noten sind sinnloss. Die Noten müssen durch Beschprechungen entsetzt werden	1	0.7956021431011934
56	2400	51.1	Die Schulnoten sind sehr subjektiv und unvergleichbar  Bei die selben Korrektur Aufgaben gibt es unterschiedliche Noten	0	0.7949530804100458
140	2682	51.1	Sie kulitisiert Schulnoten.	0	0.7946117627035636
49	2385	51.1	Die Schulnoten sind subjektiv und vergleichbar	0	0.794524685357366
207	2787	51.1	die Noten sind subjektiv,  nicht vergleichbar,  kann demotiviert sein	0	0.7944296472212727
66	2439	51.1	Schulnoten durch Berichte ersetzen	1	0.7935685222057782
182	2753	51.1	Notensystem ist wenig Subjectiv	0	0.7930067840109658
77	2451	51.1	Hinweise zur Verbesserung und Kommentar statt der Noten	1	0.7913884876795274
95	2482	51.1	für die klassischen Notengebung	0	0.7911203370466457
148	2697	51.1	Der Notensystem ist nicht vergleichbar, er erspricht den wirklichen Leistungen nicht, nur hinweise, Noten demotivierend sind, entwickulnggescprache ersatyt werden	0	0.7906914115659083
39	2369	51.1	die Schulnoten sollen weg	1	0.7904093283921608
132	2649	51.1	Die Schüler sollten keine konkreten Noten, sondern nur Kommentar bekommen	1	0.7901946725413865
126	2535	51.1	keine faire Beurteilung von Noten,die Noten sind nicht gleich	0	0.7896114441239103
136	2656	51.1	Schulnoten sind nicht gut für schülern	0	0.7895956397916377
61	2434	51.1	Noten sollen mit schriftliche Berichte ersetzt werdem	1	0.7893900219115109
31	2354	51.1	nicht nur Hinweis	0	0.7883837849685962
11	2310	51.1	Sie kritisiert die klassische Notengebung;  Die noten sollen von zum Beispiel Entwicklungsgespräche ersetzt werden.	1	0.7880399545393766
43	2375	51.1	Schulnoten - Sinn oder Unsinn ?  Kritirierung über die klassischen Noten	0	0.7875861492184894
96	2483	51.1	die noten	0	0.7859834752630687
25	2331	51.1	keine Noten geben, nur Hinweise, die die Menschen orientiren können, wo ihre Schwäche sich befinden  Entwicklungsgespräche	1	0.7855319019531406
8	2303	51.1	Unterschiede zwischen die Noten und die eigene Vermögen der Schüler	0	0.785055948257031
26	2334	51.1	Sie kritiesiert die Noten und glaubt, dass sie nicht suplektiv und ausreichend sind.	0	0.7840294667204231
142	2688	51.1	Note sind wenich vergleichen   Note sollen durch schriftliche Berichte sein	0	0.7816029487130737
85	2460	51.1	keine bestimmte Note auch ohne Kommentar, nur im Form von einem Bericht	1	0.7805490474454524
163	2732	51.1	Noten sind subjektiv  Schüler mit gleiche Leistungen haben nicht die gleiche Note bekommen	0	0.7802909709137017
52	2394	51.1	dir art und wiese der bewertung der schuler kratisieren	0	0.7774702657198704
82	2457	51.1	Noten sind als etwas subjektives betrachtet und manchmal hinwesein eigentlich nicht die Fähigkeiten des Lernendes	0	0.7752405412356673
74	2447	51.1	klassische Noten kritisieren  Notensystem soll geändert werden	0	0.7752061061896687
13	2313	51.1	kritisieret die klassische Notensystem  Note demotivieren den Shülern  schriftliche Berichte anstatt Noten	1	0.773677979937913
14	2314	51.1	kritisiert die klassischen Noten in der Schule	0	0.7724268472133559
197	2773	51.1	Schulern noten hängen ab vielen Faktoren	0	0.7724129052924468
170	2740	51.1	Noten system ist schlecht	0	0.7715075802673539
22	2326	51.1	Frau Jansson kritisiert die Schulnoten.	0	0.7712897916076009
67	2440	51.1	beurbteilung der noten . Studenten können nicht in welche gebiet Problem haben	0	0.7709999152548344
175	2746	51.1	Hinweise sind besser für die Schüler und Schülerin	0	0.7695621330914628
44	2376	51.1	Sinn oder Unsinn?  Wenig Vergleichbar	0	0.7695587940224353
104	2499	51.1	Kritiesirung der klassischen Noten	0	0.7693050703832225
20	2321	51.1	Die Noten sind nicht objektiv. Wenn es um Einschätzung geht, kommen die gleiche Noten nicht heraus.	0	0.7691727961142524
5	2297	51.1	Noten durch schriftlichen Berichte ersetzen.	1	0.7681544718949286
64	2437	51.1	Schulnote ist nicht sinnig	0	0.7677106120459001
91	2475	51.1	Die prüfungen sind immer theoretisch und die studenten bekommen verschiedene noten	0	0.7671162918395922
161	2728	51.1	klassichen Notenabgebung nicht gut	0	0.7653372500340436
211	2792	51.1	Einfluss der Noten für die Fähigkeit der Schüler	0	0.7648778552033185
185	2758	51.1	klassicche Notensystem hat sie in eigenem Buch kritisiert	0	0.7648700549691948
202	2781	51.1	klasische Notensistem ist nicht gut, weil mit der kann nicht gut	0	0.7643409561365844
172	2742	51.1	Schulnoten sollen von schriftlichen Beratungen begleitet werden.	0	0.7624591945214949
86	2461	51.1	eine faire Beurteilung	0	0.7588367802451854
166	2736	51.1	Die schulnoten demotivieren die Schulern..aus der Forschung in	0	0.7586300804968833
154	2720	51.1	Kritisiert den Schulnoten	0	0.7582088099527428
151	2712	51.1	bildungs forscherin   dagegen die shulnoten ist	0	0.757102694579977
209	2790	51.1	Noten soll ersetzen	0	0.7562540100075681
84	2459	51.1	Die Noten durch die Entwicklungsgespräche ersetzen	1	0.755520579762116
23	2328	51.1	Die Schulnoten subjektiv sind  neue Notensystem	0	0.7552776921315271
9	2304	51.1	Nur Hinweisen bekommen	1	0.755183040572252
155	2721	51.1	Noten durch Bespreschung gemessen	0	0.7513996025242823
196	2772	51.1	DISKUTIEREN SINN-UNSSIN VON NOTEN   KRITISIEREN NOTENYISTEM	0	0.7467496019961996
145	2691	51.1	Schulnoten sollen durch die Kommentare ersetzt werden, die sagt, wo sich die Schüler verbessern sollen.	1	0.7462568617648657
32	2359	51.1	Sie kritisiert die klassichen Noten System	0	0.7460081247548567
134	2651	51.1	das Shüler ein	0	0.7454118974560031
174	2745	51.1	Sie findet, dass die Urteilung für die Schüler häufig subjektiv ist.	0	0.7447542364159414
114	2515	51.1	nichtvergleichbare Note muss man die Schüler geben	0	0.7434030181058154
190	2764	51.1	die Schuelenoten sind sinn uder unsinnvoll	0	0.7433602913778518
21	2322	51.1	Die Noten sind subjektiv. Die klasische Notengebung ist schlecht für die Shuler	0	0.7412366976066976
173	2743	51.1	wenige vergleich  die aufgabe keine nute bekommen	0	0.7375450972615545
73	2446	51.1	Notensystem hat nicht gerechtiges Be	0	0.7311555073865628
3	2294	51.1	neue Notensysteme	0	0.7298168035452602
99	2486	51.1	Notesystem hat manche probleme	0	0.7292967465542973
150	2707	51.1	Notensystem verändern  Schuler konkrete Kommentar bekommen sollen	1	0.727696442812024
50	2388	51.1	Kritiserung der Noten	0	0.7272521151959813
143	2689	51.1	dismotivative Noten	0	0.7269060917078131
200	2778	51.1	Die Note ist notwendig	0	0.7267689309903258
171	2741	51.1	faire Beurteiling durch verschiedene lehrer  Dass Note	0	0.7263179206769756
45	2378	51.1	gleich Notte	0	0.7180571093208143
62	2435	51.1	Schriftliche Kommentare/Berichte, die aufzeigen, wo Defizite sind, wo Verbeserungsmöglichkeiten sind wo Schüler gut sind	1	0.7079568256424313
4	2295	51.1	klassishchen Notgeben subjektiv sind	0	0.6969674723991183
115	2516	51.1	Notin nich eefektiv	0	0.6906956957032432
72	2445	51.1	kritiesiert Noten	0	0.6888132560339861
71	2444	51.1	lehrkräfte - schuler-innen probleme	0	0.6882451539073982
149	2706	51.1	faire Beurteilung felht  die Noten demotivieren die Schüler	0	0.6870660923919757
194	2769	51.1	Deutsche Lererin	0	0.6852208750781226
187	2760	51.1	Noten als Vergleichkreterium lassen	0	0.6756964066521629
131	2648	51.1	Abschaffung der Noten	1	0.6706869969744214
164	2733	51.1	Kritik an klassischen Schulnoten	0	0.6637679027667612
212	2794	51.1	Notensystem komplett verzichten	1	0.6533003916663861
90	2468	51.1	kritik  schifliche berichten	0	0.6401396962705326
206	2785	51.1	schriftliche Berichte erhalten	0	0.6361871323313277
10	2309	51.1	sind wichtg	0	0.6317806030473925
179	2750	51.1	fair beurteilung  subjektive noten	0	0.6219933547861893
40	2371	51.1	subjektive Noten  schriftliche Berichte	0	0.6193055205744813
180	2751	51.1	Klassische Noten	0	0.6068648493018978
88	2464	51.1	Noten abschaffen	1	0.6009946786128281
159	2726	51.1	Kritisiert die Noten System	0	0.5942735085464612
41	2373	51.1	Fördert der System	0	0.5874846890929084
119	2522	51.1	mithilfe des berichts	0	0.584023970093472
51	2390	51.1	verbeserrung der Arbeitkräfte	0	0.583655623149953
133	2650	51.1	schriftliche Berichte	1	0.581647474861948
186	2759	51.1	Fehler in dem Notensystem	0	0.556781408541522
124	2533	51.1	Anhaltspunkte sollen ander	0	0.5521780100643064
141	2685	51.1	Noten nötig  schriftlicher Bericht	0	0.5456355362593943
63	2436	51.1	klassiche Noten notwendig	0	0.5432575720057902
47	2380	51.1	faire Beurteilung ,	0	0.53955735754446
177	2748	51.1	Notensystem subjektiv ist	0	0.533433280068042
156	2722	51.1	klassische Noten kritirieren	0	0.5177123003148046
130	2647	51.1	Kritisiert Noten	0	0.5157857329451155
110	2506	51.1	logische schluss Forderung	0	0.49919638227656526
98	2485	51.1	Noten	0	0.4669478197915058
168	2738	51.1	subjektiv  demotivierend	0	0.46621439324336
201	2779	51.1	nue Notesystem	0	0.45966861884767496
188	2761	51.1	Kritik	0	0.45340876546490605
55	2399	51.1	N0ten Beurteilung	0	0.44791318935503743
213	2795	51.1	Schulnoten benotig	0	0.4403986265651496
94	2479	51.1	bildungs forscher   bildungs forscerung	0	0.430074044101722
18	2319	51.1	Fehlerbeurteilung der Notegebung	0	0.41085199977539566
117	2519	51.1	Freie Beurteilung	0	0.3964971014213121
144	2690	51.1	Das Notensystem ist unfair.	0	0.3926966288720588
210	2791	51.1	kritisiert klassische Notebuch	0	0.3749657396651789
89	2467	51.1	Schrifftliches Berichten	1	0.3609751826829285
165	2735	51.1	klassische Notengebung	0	0.345570017360042
58	2405	51.1	entwicklung Gäspreche	1	0.33808684624935936
46	2379	51.1	gleiche note  agrumente	0	0.3302540430027525
118	2520	51.1	veie beurteilung	0	0.3116106916518565
68	2441	51.1	lehrkräfte  klassische umgebung	0	0.30878040385410155
36	2363	51.1	Notesystem	0	0.2865392565751157
33	2360	51.1	notesystem	0	0.2865392565751157
128	2542	51.1	Noten system	0	0.281488360240467
101	2488	51.1	Kritisch	0	0.28117273579473423
0	2290	51.1	Ä	0	0.2720888033197908
19	2320	51.1	#NAME?	1	0.26908945804563456
198	2774	51.1	Kritisierung im Notensystem	0	0.26346482572826413
146	2692	51.1	Subjektiv	0	0.25550515171427945
37	2367	51.1	hv2	0	0.2538381968745851
48	2384	51.1	klasische Notengebung	0	0.249548279993833
76	2449	51.1	Berichte	0	0.24849670629958287
214	2796	51.1	Fehlerbeurteilung	0	0.22225742654025982
112	2508	51.1	Something about Israel	0	0.18166212893623923
216	2798	51.1	Note	0	0.10475708752558
