Teilnehmer	AufgabeItem	Antwort	gesamt	morph_overlap
2304	54.3	Gesichtszellen speicher nur bestimmte Aspekt vom Gesichtsraum	1	8.0
2691	54.3	Gesichtszellen erkennen nur eine bestimmte aspelte der Gesichtsraum	1	4.571428571428571
2706	54.3	die Nervenimpulse bestimte Gesichtszelle blieben gleich  nur bestimte Informationen wurden empfangen  nutzt einen bestimmte Aspekt - für andere Funktionen blind	0	3.4285714285714284
2310	54.3	Gesichtszellen nur eine bestimmte räumliche Information auf Gesichts speichern	1	3.4285714285714284
2543	54.3	Gesichtszellen tragen nur bestimmte Informationen bei	0	3.4285714285714284
2505	54.3	Die Gesichtszellen bilden nur bestimmte Information ab, statt jedes Gesicht zu speichern.	1	3.4285714285714284
2745	54.3	Die Gesichtszellen können bestimmte Informationen reagieren. Für andere Aspekt gibt es andere Funktionen .	0	3.4285714285714284
2303	54.3	Gesichtszellen fassen nur ein Detail vom Gesicht	1	3.4285714285714284
2453	54.3	nur ein Aspekt im Gesichtsraum wird erkannt	1	3.4285714285714284
2326	54.3	Die Gesichtszellen haben nur ein Aspekt des Gesichts gespeichert	1	3.4285714285714284
2535	54.3	Gesichtszellen bilden einen bestimmten Aspekt ab	1	3.395238095238095
2291	54.3	Die Nervenimpulse bleiben gleich. Einen bestimmten Aspekt wird von den Gesichtszellen gespeichert, nicht alles, was wir sehen.	1	3.395238095238095
2464	54.3	Die Gesichtszellen bilden bestimmte Aspekte ab, nicht ein Gesicht einzeln - sie arbeiten also vernetzt	1	3.380952380952381
2438	54.3	Gesichtszellen kodieren bestimmte räumliche Informationen  Es werden einzelne Aspekte erfasst	1	3.380952380952381
2451	54.3	Studie über Affen: In der Gesischsstelle nur einige bestimmte Aspekte ergreifen werden	0	3.380952380952381
2750	54.3	Verschiedene gesichtszellen nur bestimmte Aspekten haben	0	3.345238095238095
2778	54.3	nur einige Aspekt des Gesichts in Gesichtszellen speichert werden	0	3.2857142857142856
2748	54.3	Gesichtzelle ist nur mit ein Aspekt besetzt	0	2.2857142857142856
2439	54.3	Jede Gesichtszelle erfasst nur ein Aspekt aus dem Erkennungsgesicht	1	2.2857142857142856
2449	54.3	eine Zelle erfasst nur einen Aspekt	0	2.2857142857142856
2313	54.3	die Nervenimpulse blieben gleich  Gesichtszellen nur raumliche	0	2.2857142857142856
2458	54.3	die Gesichtszellen sind nur für die eigene Zelle ständig, für andere Funktion blind.	0	2.2857142857142856
2462	54.3	Nervenimpulse bestimmen die Gesichtszellen, die eine bestimmte räumliche Information abbilden	0	2.2857142857142856
2497	54.3	Forscher haben Aktivität von Privaten dargestellt.  von unterschiedlichen Gesichten sind  nur bestimmte Merkmale bemerkt	0	2.2857142857142856
2363	54.3	Die Gesichtszelle können nur eine bestimmte Infos abbilden.	0	2.2857142857142856
2499	54.3	eine bestimmte Aspekt wurde bearbeitet und gezeigt	0	2.2857142857142856
2292	54.3	die Gesichtszellen segen nicht nur ganze Gesichte, sondern bilden räumliche Informationen ab	0	2.2857142857142856
2735	54.3	nur bestimmte Information	0	2.2857142857142856
2732	54.3	Eine Gesichtszelle kann nur eine bestimmte Raum der Gesicht abbilden, jede Zellen machen anders	1	2.2857142857142856
2729	54.3	Eine Zelle ist nur für ein Aspekt der Anerkennung eines Gesichtes zuständig	1	2.2857142857142856
2523	54.3	Die Gesichtszellen bilden eine bestimmte räumliche Information ab	1	2.2857142857142856
2295	54.3	Gesichtzellen erfasst  Anblick von verschiedenen Gesichts gleich bleiben  nur ein Aspekt fassen, für amdere blind bleiben	1	2.2857142857142856
2659	54.3	Impulse bei Anblick von Gesichtern bleiben gleich.   Jede Zelle verarbeitet nur ein Aspekt	1	2.2857142857142856
2685	54.3	bestimmte Aspekt	0	2.2857142857142856
2775	54.3	Es gibt nur eine bestimmte Information für jede Cell	0	2.2857142857142856
2445	54.3	Erkännung nur bestimmte Gesichtszügen	0	2.2857142857142856
2317	54.3	gesichtszelle erfasst eine bestimmte Aspekt in der Gesicht	1	2.2857142857142856
2327	54.3	nur ein bestimmtes Aspekt wird ausgerufen	0	2.2857142857142856
2321	54.3	Affen werden presentiert die Aktivitat in ihrer Gesichtszellen. Die Gesichtszellen können nict kodieren, jede Gesichtszelle erfastt nur eine Tätigkeit.	0	2.2857142857142856
2433	54.3	Nervenimpulse bleiben gleich  Wahrnemung nur einer bestimmten askpekt	0	2.2523809523809524
2457	54.3	die Aktivitäten in dem Gehirn eines Affes und man sieht das nur bestimmten Angaben des Gesichts anerkannt werden.	0	2.2523809523809524
2446	54.3	Nerven nur bestimmten Information über Gesichte abbilden, sonst bleiben sie gleich	0	2.2523809523809524
2447	54.3	Einige Bilder zeigen Nerven von Pulse  bestimmte Aspekte	0	2.238095238095238
2454	54.3	jedes Gesicht erkennt eine bestimmte Aspekte	0	2.238095238095238
2723	54.3	jede Zelle erkennt bestimmte Aspekte von dem Gesicht	1	2.238095238095238
2747	54.3	Gesichtszellen, Zellen bleiben gleich jede Zelle sieht eine Aspekte	0	2.238095238095238
2692	54.3	eine bestimmte Aspekte ist wichtig	0	2.238095238095238
2682	54.3	eine bestimmte Aspekte	0	2.238095238095238
2690	54.3	Die Geschitszellen sind verantwortlich für bestimmte Aspekte.	0	2.238095238095238
2777	54.3	eine bestimmt Aspekte	0	2.201058201058201
2400	54.3	Die Nerven nehmen die bestimmet Aspekte von einem Gesicht wahr und sind blind zur Wahrnehmung der anderen Aspekte	1	2.201058201058201
2328	54.3	Nervenimpulse gleich bleiben  jede Gesichtszelle eine bestimmte Funktion hat	0	1.1428571428571428
2697	54.3	Die Nervenimpulse bleiben gleich, wenn es um die bekennten Gesichten geht, jede Gesichtszelle nutyt nur ein bestimmtes Raum	0	1.1428571428571428
2334	54.3	Nervenimpulse entsehen in den Gesichtszellen	0	1.1428571428571428
2460	54.3	Nerfenpulse bilden eine bestimmte Folge ab, beim sehen	0	1.1428571428571428
2461	54.3	nur eine Funktion ist wichtig, bei den anderen Funktionen bleiben die Zellen blind	0	1.1428571428571428
2368	54.3	jeder Zelle ist für eine bestimmte Aufgabe verantwortlich.	0	1.1428571428571428
2742	54.3	Milliarden von Gesichtszellen wurden herausgefunden.	0	1.1428571428571428
2741	54.3	Die nervenimpulsen bleiben gleich  Ein bestimmte Gesicht zu rol	0	1.1428571428571428
2486	54.3	bestimmte Asspekt haben Sie	0	1.1428571428571428
2488	54.3	Gesichtszelle bestimmte Gehirn	0	1.1428571428571428
2713	54.3	erfassen nur eine	0	1.1428571428571428
2689	54.3	Gesichtsseele ist nur ein kleiner Teil von dem Kopf	0	1.1428571428571428
2542	54.3	Wenn verschidene Gesichten anzuschauen, die Gesichtszellen des Affen gleich blieben	0	1.1428571428571428
2298	54.3	Gesichtszellen geben räumliche Information über das Gesicht	0	1.1428571428571428
2790	54.3	Gesichtzellen hat nur ein bestimmit Raum für ein Gesicht	0	1.1428571428571428
2733	54.3	nur ein Platt funkioniert	0	1.1428571428571428
2518	54.3	bestimmte zelle sind für annerkennung eins Gesichts verntwortlilch	0	1.1428571428571428
2794	54.3	Gesichtzelle erkennt nur räumliche Infos von Gesichte	0	1.1428571428571428
2319	54.3	Gesichtszellen bleiben gleich, wenn ein Gesicht zweimal gesehen ist	0	1.1428571428571428
2534	54.3	Nervenimpulse bleiben gleich beim Einblick von verschiedenen Gesichten  Jede Gesichtszelle ist fur ein Aspekt des Erkennens zuständig	1	1.1428571428571428
2297	54.3	Nervezellen bilden eine bestimmte räumliche Situation im Gehirn und kein konkretes Bild.	0	1.1428571428571428
2316	54.3	Gesichteszellen kodieren eine bestimmte raumliche Funktion.	1	1.1428571428571428
2722	54.3	Die Zellen stehen eine bestimmte raumliche Gesicht	0	1.1428571428571428
2737	54.3	eine bestimmte akt	0	1.1428571428571428
2311	54.3	bestimmte Information einer Gesichts speichern	0	1.1428571428571428
2763	54.3	Affen, gleiche aktivität  bestimmte räumliche information	0	1.1428571428571428
2443	54.3	jede Gesichtszelle bestimmt einen Gesichtsraum	0	1.1428571428571428
2768	54.3	Bestimmt Informationen und Aspekt gilt	0	1.1428571428571428
2765	54.3	Gehirn vion Primat und Aktivität von Primat ist am Computer, Gesichtszelle hat nur einige Eigeschaften	0	1.1428571428571428
2394	54.3	nervenzelle vom gesicht der unterschiedlicher personen gleich sind	0	1.1428571428571428
2388	54.3	nur eine raümlcihe Information speichern	1	1.1428571428571428
2435	54.3	jede Gesichtszelle erkennt nur einen Teil, für andere Teile blind	1	1.1428571428571428
2762	54.3	ein bestimmte aspekt für jede Informacion die sie nimmt	0	1.1428571428571428
2770	54.3	nerveninpulsen bleiben gleich,gesichtsaspekten haben nur 1 aspekt	0	1.1428571428571428
2359	54.3	die Zellen blieben gleich und nur verändern sich bie besonderen einzelhiten	0	1.1428571428571428
2384	54.3	Nervenimpulse entstehen in den Gesichtszellen	0	1.1428571428571428
2371	54.3	die Gesichtszellen sind gleich	0	1.1428571428571428
2782	54.3	ein Aspekt	0	1.1428571428571428
2362	54.3	gesichtzellen verfasst fur jedes gesicht bestimmten kode	0	1.1095238095238096
2329	54.3	Das Gehirn entwicklent einen bestimmten räumlichen Raum für die Information , die es bekommt	0	1.1095238095238096
2795	54.3	eine Gesicht wird in einen bestimmt Zellen speichert, nicht	0	1.1058201058201058
2487	54.3	Gleich und in bestimmt häumlichen Ort abbilden	0	1.1058201058201058
2509	54.3	Nervenimpulse blieben gleich, eine bestimmt Zelle fasst eine bestimmte Funktion	0	1.1058201058201058
2436	54.3	besetzt bestimme Zelle	0	1.1058201058201058
2506	54.3	einen bistimmte Aspekte , Nerven	0	1.0952380952380953
2467	54.3	Bestimmte Aspekte, Interessante Din	0	1.0952380952380953
2769	54.3	Tiere könnte sich erinerin von n	0	0.0
2709	54.3	Experiment  Gesichts	0	0.0
2776	54.3	Die Gesichten ähnelt sie sich gleich	0	0.0
2799	54.3	Naiven kann sich manschenliche Gesicht unterscheiden.	0	0.0
2773	54.3	Aktivität in Gehirn bleib gleich in Affen	0	0.0
2774	54.3	erfasst,umsetzt,	0	0.0
2721	54.3	Die gleiche Nerven reagieren an alle Gesichte	0	0.0
2720	54.3	Gesichte zum Affen präsentieren  Nervpunkten bleiben gleich	0	0.0
2715	54.3	Nerven sind gleich.	0	0.0
2725	54.3	Afenbilder von Geschichter präsentiert   raumliche bestimte iIformation einbilden	0	0.0
2712	54.3	einen bestimten aspekte von jede gesicht konnen si zellen speichern   gibt es andere aspekte wo si zellen glich	1	0.0
2771	54.3	in Gehirn zuständig ist	0	0.0
2772	54.3	MAGNET RESOGNANZ  BILDER VON GESICHT PREASENTIERT  DIE NERVEN IMPULSEN VON UNTERSCHIEDLICHE GESICHTER	0	0.0
2766	54.3	Die Nerven bleiben gleich	0	0.0
2797	54.3	Zwei Seiten von Gesichtszelle sind unterschiedlich.	0	0.0
2726	54.3	Affen erkenne Gesichte besser.	0	0.0
2727	54.3	Für Affen ist verschiedene Gesicht gleich	0	0.0
2785	54.3	die Affen funktioniert ähnlich wie Menschen, und die Funktionsverlauf im Affen kann ins Computer anwenden und nutzen	0	0.0
2746	54.3	wenn die Affee das bild sieht,ist die Aktion der Gesichtzelle gleich	0	0.0
2749	54.3	Strahlungen an alle Gesichter von Gehirn waren gleich	0	0.0
2789	54.3	Die EDas Gesicht	0	0.0
2707	54.3	wie die Affen die Gesichte unterschieden	0	0.0
2743	54.3	wie die affen die gesicht auf dem compiuter sehen und	0	0.0
2781	54.3	millione gesichte unterscheiden	0	0.0
2740	54.3	Nerven impulse, räumliche info, beste aspekte von des gesichts	0	0.0
2751	54.3	gleiche regionen wird in unterschiedlichen Gesichte aktiviert   jede Nerve hat eine aspekte von gesicht wahrgenommen	1	0.0
2752	54.3	jede Gesicht hat andere Merkmal	0	0.0
2739	54.3	bei a	0	0.0
2738	54.3	Den Affen wurden ein paar Bilder -Gesichte- gezeigt, der Teil des Gehirns bleibt gleich, obwohl verschiedene Bilder gezeigt wurden	0	0.0
2761	54.3	es gibt mehr verbundenen Gehirnregionen die arbeizusammen	0	0.0
2780	54.3	welche Gesichtszelle funkzionieren bei den Affen wen sie Gesicht anschauen	0	0.0
2736	54.3	Gesicht Zellen -> bestimmt räumlich Aktion speichern	0	0.0
2787	54.3	eine Gesichtzelle-nur ein Gesicht erkenne	0	0.0
2764	54.3	mit Afen aktivität	0	0.0
2792	54.3	Elfe kann die unterschiedliche Gesichte erkennen und auswendig lenren.	0	0.0
2728	54.3	nervenimpullse blieben gleich	0	0.0
2798	54.3	man kann seine Gehirn besser durch Vertrieb machen	0	0.0
2503	54.3	die nerven impulsen der einzelnen gesichtzellen blieben gleich, jede gesichtzelle erfasst einen gesicht erkenneung	0	0.0
2696	54.3	Das Gesicht kann als räumliche Information entschlüsselt werden.	0	0.0
2367	54.3	HV5	0	0.0
2434	54.3	Die nervenimpulse bleiben gleich gesichttszelle eine raumliche info -- fur andere fnktionen blind	1	0.0
2406	54.3	bilde in gesicht   sehr untershiedlichen gesichten bleiben gleich	0	0.0
2401	54.3	die Nerven der Affen haben gleiche Impulse ,wenn sie unterschiedliche Gesichte sehen	0	0.0
2399	54.3	jede Gesichtzelle dekodiert ein beschtimmtes Gesicht	0	0.0
2396	54.3	Chematiche  Nerven Impulse von Ansehen um zu kodieren  Jeder zelle ist verantwortlich für jeder Einheit	0	0.0
2395	54.3	bei eingen Testen sind die Zellen aktiv, bei anderen - blind	0	0.0
2385	54.3	Die Experiment mit Apfen	0	0.0
2382	54.3	ENTWIKELT EINEN COMPUTER	0	0.0
2380	54.3	Affen ,nerven untersichiedlich zu Menschen aber auch gleich	0	0.0
2379	54.3	zwei dinge in Affe kopf eintragen damit sie die signale von gesicht verstehen zu können	0	0.0
2376	54.3	die Zelle bei veschiedenen Gesichter gleiben gleich.	0	0.0
2375	54.3	Die Nerveimpulse und auch die verschiedene Gesichter  bleiben gleich	0	0.0
2374	54.3	gleichszeitige Aktivität	0	0.0
2354	54.3	Gesichts zellen erfassen	0	0.0
2440	54.3	einige nerven im Gehirn reagieren mit Gesicht	0	0.0
2349	54.3	Blieben gleich gesichtszellen gesichtsabbilden	0	0.0
2347	54.3	Die Tieren und Menschen gleich gedachtnis s	0	0.0
2337	54.3	Bildern von gesichte printiert und fassen die Folge zusammen	0	0.0
2336	54.3	eine Computer Algorithmus macht eigentlich diese Forschungsergebniss	0	0.0
2335	54.3	räumliche Information	0	0.0
2331	54.3	Es gibt miliarden areale, die bei Der Annehmung hilft	0	0.0
2322	54.3	Die Resultate mit Afen und Menschen sind sehr ähnlich.	0	0.0
2318	54.3	Die zellen bei verschiedene Gesichter bleiben gleich. Eigentlich die verschiedene Zellen nehmen Information über die verschiedene Gesichtaspekte eines Mensches.	1	0.0
2314	54.3	Bilder zeigen, die Nervenimpulse verursachen	0	0.0
2309	54.3	entwicklung,wie das affen gesehen hatte	0	0.0
2308	54.3	für andere Funktionen blind	0	0.0
2300	54.3	Nervenimpulse blieben gleich	0	0.0
2294	54.3	Die Tiere speichern wenige Information	0	0.0
2437	54.3	es gibt eine jeweilige räumlich Information für jedes Gesicht	0	0.0
2441	54.3	Nervenimpulse sind gleich geblieben  räumliche informationen	0	0.0
2658	54.3	nicht alle Informationen werden gut erkannen.	0	0.0
2507	54.3	Beim Erkennen von Gesichten sind sie blind für andere Funktionnen	0	0.0
2656	54.3	nervenimpulsen von gestellte verschiedene gesichte bleiben manchmal gleich	0	0.0
2649	54.3	bleiben gleich  blind	0	0.0
2648	54.3	einige Räumlichkeiten im Gesicht gespeichert	0	0.0
2647	54.3	Affen in der Forschung, Nerven blieben gleich für unterschiedliche Gesichte, Nerven für Gesichtbereiche nicht Gesichte	1	0.0
2538	54.3	hintergrund	0	0.0
2536	54.3	- Die Affen wurden untersucht, -   - die reaktionen blieben gleich,	0	0.0
2532	54.3	bestimte aspeckt	0	0.0
2527	54.3	räumliceh inforamtion zu abbilden aber sehr unterc	0	0.0
2525	54.3	Die Nerven, die man benutzt, waren gleich.	0	0.0
2524	54.3	Nur die Räumliche Informationen jedes Gesichtes sind gespeichert.	0	0.0
2522	54.3	räumliche Abbildung	0	0.0
2520	54.3	leute zellen sind starker als afen	0	0.0
2515	54.3	Bei den Affen belieb gleich bei verschidene Gesichte	0	0.0
2502	54.3	der HIntergrund eine aktuellen studie	0	0.0
2442	54.3	GESICHTZELLE SIND GLEICH BEI DER ERKENNUNG	0	0.0
2501	54.3	Apfen geben gleiche informationen	0	0.0
2492	54.3	cmputer algorithmus	0	0.0
2489	54.3	DIE GESICHTZELLEN NUR EINE BESTIMMTE INFORMATION VON DER GESICHT ERRINERN	1	0.0
2484	54.3	die nerven von gezichtzellen fur verschiedene gesichte waren besonders	0	0.0
2482	54.3	blieben gleich	0	0.0
2479	54.3	bleiben Gleich   aspekt im gesicht	0	0.0
2478	54.3	Die Gesichtszeilen verschiedener	0	0.0
2477	54.3	jede gesichtzelle erkennt eine	0	0.0
2459	54.3	Mit der Messung von	0	0.0
2456	54.3	nervenimpulse bei Zellen singleich	0	0.0
2452	54.3	jede Gesichtszelle enthält ihre eigene Information	0	0.0
2448	54.3	Welche Teilen im Gerhin für das Gesichtzellen die Verantworfung tragen	0	0.0
2444	54.3	Afen wie Menschen	0	0.0
2800	54.3	Computer kann unterschieden	0	0.0
