Teilnehmer	AufgabeItem	Antwort	gesamt	dist
2461	50.2	öffentlichen Dienst	1	1.0
2733	50.2	öffentlichen Dienst	1	1.0
2385	50.2	öffentlichen Dienst	1	1.0
2329	50.2	öffentlichen Dienst	1	1.0
2331	50.2	öffentlichen Dienst	1	1.0
2729	50.2	öffentlichen Dienst	1	1.0
2437	50.2	öffentlichen Dienst	1	1.0
2435	50.2	öffentlichen Dienst	1	1.0
2706	50.2	öffentlichen Dienst	1	1.0
2697	50.2	öffentlichen Dienst	1	1.0
2354	50.2	öffentlichen Dienst	1	1.0
2291	50.2	öffentlichen Dienst	1	1.0
2516	50.2	öffentlichen Dienst	1	1.0
2692	50.2	öffentlichen Dienst	1	1.0
2691	50.2	öffentlichen Dienst	1	1.0
2523	50.2	öffentlichen Dienst	1	1.0
2659	50.2	öffentlichen Dienst	1	1.0
2658	50.2	öffentlichen Dienst	1	1.0
2534	50.2	öffentlichen Dienst	1	1.0
2379	50.2	öffentlichen Dienst	1	1.0
2652	50.2	öffentlichen Dienst	1	1.0
2649	50.2	öffentlichen Dienst	1	1.0
2536	50.2	öffentlichen Dienst	1	1.0
2326	50.2	öffentlichen Dienst	1	1.0
2730	50.2	öffentlichen Dienst	1	1.0
2543	50.2	öffentlichen Dienst	1	1.0
2445	50.2	öffentlichen Dienst	1	1.0
2456	50.2	öffentlichen Dienst	1	1.0
2452	50.2	öffentlichen Dienst	1	1.0
2449	50.2	öffentlichen Dienst	1	1.0
2749	50.2	öffentlichen Dienst	1	1.0
2297	50.2	öffentlichen Dienst	1	1.0
2458	50.2	öffentlichen Dienst	1	1.0
2482	50.2	öffentlichen Dienst	1	1.0
2300	50.2	öffentlichen Dienst	1	1.0
2745	50.2	öffentlichen Dienst	1	1.0
2488	50.2	öffentlichen Dienst	1	1.0
2317	50.2	öffentlichen Dienst	1	1.0
2464	50.2	öffentlichen Dienst	1	1.0
2319	50.2	öffentlichen Dienst	1	1.0
2442	50.2	öffentlichen Dienst	1	1.0
2507	50.2	öffentlichen Diesnt	1	0.9824561403508771
2484	50.2	öffenlichen Dienst	1	0.9824561403508771
2395	50.2	Öffentlichen Dienst	1	0.9649122807017543
2459	50.2	Öffentlichen Dienst	1	0.9649122807017543
2499	50.2	offentlichen Dienst	1	0.9649122807017543
2454	50.2	offentlichen Dienst	1	0.9649122807017543
2400	50.2	Öffentlichen Dienst	1	0.9649122807017543
2453	50.2	Öffentlichen Dienst	1	0.9649122807017543
2438	50.2	Öffentlichen Dienst	1	0.9649122807017543
2434	50.2	Öffentlichen Dienst	1	0.9649122807017543
2505	50.2	Offentlichen Dienst	1	0.9649122807017543
2443	50.2	Öffentlichen Dienst	1	0.9649122807017543
2478	50.2	Öffentlichen Dienst	1	0.9649122807017543
2289	50.2	öffentlichen DIenst	1	0.9649122807017543
2647	50.2	Öffentlichen Dienst	1	0.9649122807017543
2657	50.2	Öffentlichen Dienst	1	0.9649122807017543
2292	50.2	offentlichen Dienst	1	0.9649122807017543
2796	50.2	offentlichen Dienst	1	0.9649122807017543
2782	50.2	Öffentlichen Dienst	1	0.9649122807017543
2298	50.2	Öffentlichen Dienst	1	0.9649122807017543
2302	50.2	Öffentlichen Dienst	1	0.9649122807017543
2765	50.2	Öffentlichen Dienst	1	0.9649122807017543
2753	50.2	Öffentlichen Dienst	1	0.9649122807017543
2310	50.2	Öffentlichen Dienst	1	0.9649122807017543
2748	50.2	Öffentlichen Dienst	1	0.9649122807017543
2313	50.2	Öffentlichen Dienst	1	0.9649122807017543
2738	50.2	Öffentlichen Dienst	1	0.9649122807017543
2318	50.2	Öffentlichen Dienst	1	0.9649122807017543
2320	50.2	offentlichen Dienst	1	0.9649122807017543
2321	50.2	Öffentlichen Dienst	1	0.9649122807017543
2732	50.2	Öffentlichen Dienst	1	0.9649122807017543
2725	50.2	Öffentlichen Dienst	1	0.9649122807017543
2724	50.2	Öffentlichen Dienst	1	0.9649122807017543
2707	50.2	Öffentlichen Dienst	1	0.9649122807017543
2358	50.2	Offentlichen Dienst	1	0.9649122807017543
2359	50.2	Offentlichen Dienst	1	0.9649122807017543
2696	50.2	offentlichen Dienst	1	0.9649122807017543
2361	50.2	Öffentlichen Dienst	1	0.9649122807017543
2462	50.2	Öffentlichen Dienst	1	0.9649122807017543
2688	50.2	offentlichen Dienst	1	0.9649122807017543
2373	50.2	Öffentlichen Dienst	1	0.9649122807017543
2690	50.2	Öffentlichen Dienst	1	0.9649122807017543
2746	50.2	öffentliche Dienst	1	0.94541910331384
2752	50.2	öffentliche Dienst	1	0.94541910331384
2525	50.2	öffentliche Dienst	1	0.94541910331384
2509	50.2	öffentliche Dienst	1	0.94541910331384
2349	50.2	öffentliche Dienst	1	0.94541910331384
2380	50.2	offentlichen dienst	1	0.9298245614035089
2376	50.2	Öffentlichen DIenst	1	0.9298245614035089
2502	50.2	offentlichen dienst	1	0.9298245614035089
2747	50.2	höffentliche Dienst	0	0.9278752436647174
2369	50.2	öffentlicher Dienst	1	0.9278752436647174
2508	50.2	öffentlicher Dienst	1	0.9278752436647174
2773	50.2	öffenlichendienst	1	0.9277605779153767
2327	50.2	öfentliche Dienst	1	0.9256965944272446
2448	50.2	offentlichene Dienst	0	0.9120857699805068
2368	50.2	offentlichendienst	1	0.9103313840155945
2524	50.2	Öffentlichendienst	1	0.9103313840155945
2334	50.2	Öffentlichendienst	1	0.9103313840155945
2515	50.2	Öffentlichendienst	1	0.9103313840155945
2514	50.2	Öffentlichendienst	1	0.9103313840155945
2384	50.2	Öffentlichendienst	1	0.9103313840155945
2460	50.2	Öffentlichendienst	1	0.9103313840155945
2750	50.2	Öffentlichendienst	1	0.9103313840155945
2304	50.2	Öffentlichendienst	1	0.9103313840155945
2759	50.2	Öffentlichendienst	1	0.9103313840155945
2761	50.2	Öffentlichendienst	1	0.9103313840155945
2767	50.2	Öffentlichendienst	1	0.9103313840155945
2787	50.2	Offentlichendienst	1	0.9103313840155945
2487	50.2	Öffentlichendienst	1	0.9103313840155945
2777	50.2	offentliches Dienst	1	0.9102167182662538
2736	50.2	Öffintlichen Dienst	1	0.9102167182662538
2790	50.2	Offentliche Dienst	1	0.907178075908726
2363	50.2	Öffentliche Dienst	1	0.907178075908726
2722	50.2	Öffentliche Dienst	1	0.907178075908726
2713	50.2	Offentliche Dienst	1	0.907178075908726
2740	50.2	öffentliche dienst	1	0.907178075908726
2444	50.2	öffentliche dienst	1	0.907178075908726
2322	50.2	Öffentliche Dienst	1	0.907178075908726
2316	50.2	offentliche Dienst	1	0.907178075908726
2447	50.2	öffentlischen Dienst	1	0.8956140350877192
2780	50.2	Öffentlivchendienst	1	0.8947368421052632
2362	50.2	offentlivhen dienst	1	0.8947368421052632
2712	50.2	öffentlichendings	0	0.8906088751289989
2720	50.2	Öffentlicher Dienst	1	0.8906088751289989
2503	50.2	Öfentlichendienst	1	0.8906088751289989
2391	50.2	öffintlichendienst	1	0.8894980506822612
2532	50.2	öffentlich dinst	1	0.8867690058479533
2336	50.2	Öfentliche Dienst	1	0.8860939112487101
2689	50.2	Öffenliche Dienst	1	0.8860939112487101
2518	50.2	öffentllicher dienst	1	0.8756965944272445
2763	50.2	Öffenlichtendienst	1	0.8686647173489278
2521	50.2	Öffintliche Dienst	1	0.8686647173489278
2650	50.2	Öffentlichedienst	1	0.8683866529067767
2781	50.2	öfentliche dingst	0	0.8683866529067767
2303	50.2	Öffentlichedienst	1	0.8683866529067767
2440	50.2	öffentliche	0	0.8596491228070176
2721	50.2	offentlischen Dienst	1	0.8565302144249513
2656	50.2	Öffentlichesdienst	1	0.852046783625731
2522	50.2	öffentliche Ver	0	0.8502923976608187
2789	50.2	Öffentlichdienst	1	0.8468045112781954
2436	50.2	Öffentlichdienst	1	0.8468045112781954
2794	50.2	Öffentlichdienst	1	0.8468045112781954
2682	50.2	Öffentlichdienst	1	0.8468045112781954
2651	50.2	Offenlichedienst	1	0.8468045112781954
2648	50.2	Öffentlichdienst	1	0.8468045112781954
2715	50.2	Öffenliche dienst	1	0.8461644306845546
2735	50.2	Öffentlichending	0	0.8322368421052632
2783	50.2	offentlischdienst	0	0.8296476485330974
2535	50.2	oeffentlichen Dienst	1	0.8194931773879143
2768	50.2	Öffentliche	0	0.8118022328548644
2731	50.2	offentliche	0	0.8118022328548644
2762	50.2	offentliche ..	0	0.788220551378446
2295	50.2	oeffentliechen dienst	1	0.7837731583861615
2446	50.2	Öffenlichkeitsdienst	0	0.7576023391812865
2779	50.2	oofentlichen DIENST	0	0.7543859649122807
2756	50.2	offentli	0	0.7478070175438596
2405	50.2	freien Dienst	0	0.7126630679262259
2307	50.2	Öffitlichdiensz	0	0.6495481127060074
2538	50.2	Möglichkeiten	0	0.6318488529014844
2791	50.2	möglichkeiten	0	0.6318488529014844
2388	50.2	Engenierin	0	0.5942355889724311
2485	50.2	Möglichkeit	0	0.5911084529505582
2795	50.2	Energienversorgung	0	0.5384990253411306
2757	50.2	energieversogu	0	0.5258980785296575
2798	50.2	Moglichkeit	0	0.5254044201412622
2486	50.2	viel	0	0.5248538011695906
2506	50.2	programische Sprachen	0	0.5173350041771094
2308	50.2	Energieversorgungsgang	0	0.5115629984051037
2479	50.2	ennergi	0	0.5106516290726817
2793	50.2	Energie	0	0.5106516290726817
2328	50.2	Energieversorgung	0	0.498157157599882
2433	50.2	Energieversorgung	0	0.498157157599882
2776	50.2	Energieversorgung	0	0.498157157599882
2335	50.2	energieversorgung	0	0.498157157599882
2383	50.2	Energieversorgung	0	0.498157157599882
2758	50.2	energieversorgung	0	0.498157157599882
2726	50.2	Energie Versorgung	0	0.4968323586744639
2311	50.2	Ennergieversorgung	0	0.4905318852687273
2501	50.2	dinst	0	0.47485380116959064
2785	50.2	Energiesorgung	0	0.47343358395989976
2797	50.2	Ingenieur	0	0.47290448343079916
2517	50.2	Energirvsergung	0	0.4654970760233918
2737	50.2	Dienst	0	0.4590643274853801
2775	50.2	Ingeni	0	0.4590643274853801
2774	50.2	Jobmesse	0	0.45175438596491224
2531	50.2	jobmesse	0	0.45175438596491224
2497	50.2	Jobmesse	0	0.45175438596491224
2760	50.2	Jobmesse	0	0.45175438596491224
2751	50.2	Programieresprache	0	0.44291283764967976
2360	50.2	Raum 5	0	0.4064327485380117
2382	50.2	OFFENTLICHEN DIENST	1	0.40350877192982454
2294	50.2	Workshop	0	0.3925438596491228
2477	50.2	anwendung	0	0.3859649122807018
2772	50.2	ÖFFENTLICHENDIENST	1	0.36939571150097467
2786	50.2	programierung	0	0.35177687809266756
2784	50.2	Programieren	0	0.34795321637426896
2337	50.2	Programmierung	0	0.3462823725981621
2800	50.2	Programmierung	0	0.3462823725981621
2406	50.2	programmierung	0	0.3462823725981621
2347	50.2	Programmieren	0	0.33940620782726044
2315	50.2	Programmieren	0	0.33940620782726044
2723	50.2	Programmieren	0	0.33940620782726044
2375	50.2	Programmieren	0	0.33940620782726044
2314	50.2	Programmieren	0	0.33940620782726044
2528	50.2	Programmieren	0	0.33940620782726044
2467	50.2	Beruf	0	0.3350877192982456
2769	50.2	Beruf	0	0.3350877192982456
2492	50.2	vor mittag	0	0.26842105263157895
2527	50.2	programmieru	0	0.2573099415204678
2755	50.2	og	0	0.0
2367	50.2	LV1	0	0.0
2394	50.2	WORKSHAP	0	0.0
2764	50.2	PROGRAMMIEREN	0	0.0
2401	50.2	OFFENTLICHEN	0	0.0
