Teilnehmer	AufgabeItem	Antwort	gesamt	jwdist
2292	51.1	keine Noten zu geben	1	0.8975
2527	51.1	keine Noten erhalten	1	0.8578571428571429
2456	51.1	keine Noten nur Hinweise	1	0.8202380952380953
2384	51.1	klasische Notengebung	0	0.8063873626373627
2735	51.1	klassische Notengebung	0	0.7979458041958043
2728	51.1	klassichen Notenabgebung nicht gut	0	0.7736029411764704
2483	51.1	die noten	0	0.7129629629629629
2295	51.1	klassishchen Notgeben subjektiv sind	0	0.6958333333333333
2304	51.1	Nur Hinweisen bekommen	1	0.6818181818181818
2713	51.1	Gegen tradizionelle Noten	0	0.6749358974358973
2379	51.1	gleiche note  agrumente	0	0.6739130434782609
2378	51.1	gleich Notte	0	0.6736111111111112
2509	51.1	Keine Noten für Studenten.	1	0.6682692307692308
2406	51.1	klassischen Notensystems sind nicht gut	0	0.6639957264957265
2755	51.1	Noe tsystem nicht gegeben ist.	0	0.6615079365079365
2369	51.1	die Schulnoten sollen weg	1	0.66
2725	51.1	Noten sind wenig vergleichbar,	0	0.6569444444444444
2722	51.1	klassische Noten kritirieren	0	0.6563644688644689
2436	51.1	klassiche Noten notwendig	0	0.6492948717948718
2779	51.1	nue Notesystem	0	0.6488095238095238
2477	51.1	Ruckmeldung keine Noten   die Noten sind diemotievioetr	1	0.6478535353535353
2497	51.1	kritische Notgebung für die Schüler  Schulnoten durch schriftliche Berichte ersetzen	1	0.6468253968253969
2543	51.1	Noten nicht mehr benutzen	1	0.645
2535	51.1	keine faire Beurteilung von Noten,die Noten sind nicht gleich	0	0.6389116575591985
2738	51.1	subjektiv  demotivierend	0	0.6388888888888888
2461	51.1	eine faire Beurteilung	0	0.6382575757575758
2485	51.1	Noten	0	0.6375000000000001
2775	51.1	Keine Noten, sonst Hinweise	1	0.6364553656220323
2516	51.1	Notin nich eefektiv	0	0.6342703349282296
2790	51.1	Noten soll ersetzen	0	0.6342703349282296
2753	51.1	Notensystem ist wenig Subjectiv	0	0.6326804915514593
2453	51.1	keine Noten, Berichte über Leistungen	1	0.6320785070785071
2723	51.1	Keine Noten sondern nur Punken wo man sich verbesseren soll.	0	0.6313492063492063
2789	51.1	keine Schulnoten für Schuler geben	1	0.629053544494721
2460	51.1	keine bestimmte Note auch ohne Kommentar, nur im Form von einem Bericht	1	0.627366979655712
2778	51.1	Die Note ist notwendig	0	0.6262626262626263
2362	51.1	noten sind nicht vergleichbar	0	0.6253868258178603
2329	51.1	Die Noten sind sehr subjektiv	0	0.6253868258178603
2396	51.1	Beurteilung nicht gegeben ist	0	0.6253868258178603
2374	51.1	wo konnen sie sich verbessern	0	0.6253868258178603
2770	51.1	Noten sind sehr vergleichbar	0	0.625
2766	51.1	Die Noten sind nicht vergleichbar	0	0.6235569985569985
2446	51.1	Notensystem hat nicht gerechtiges Be	0	0.6219729344729344
2385	51.1	Die Schulnoten sind subjektiv und vergleichbar	0	0.6214464882943144
2767	51.1	Die Noten nicht mehr verwenden	1	0.6204059829059829
2652	51.1	Sie kritisiert klassiche Noten	0	0.6194444444444445
2658	51.1	Die Noten sind nicht Vergleichbar.	0	0.6193977591036414
2787	51.1	die Noten sind subjektiv,  nicht vergleichbar,  kann demotiviert sein	0	0.6189613526570048
2750	51.1	fair beurteilung  subjektive noten	0	0.6176470588235294
2454	51.1	die Schulnoten ersetzen  die Ferien beurteilen	0	0.6147342995169082
2458	51.1	Die Schulnoten sollen ausgelassen werden	1	0.6099358974358974
2783	51.1	Sie kritisiert Schulnoten	0	0.6083333333333333
2376	51.1	Sinn oder Unsinn?  Wenig Vergleichbar	0	0.6081081081081081
2314	51.1	kritisiert die klassischen Noten in der Schule	0	0.6074016563146998
2331	51.1	keine Noten geben, nur Hinweise, die die Menschen orientiren können, wo ihre Schwäche sich befinden  Entwicklungsgespräche	1	0.6062158469945355
2328	51.1	Die Schulnoten subjektiv sind  neue Notensystem	0	0.6052431610942249
2334	51.1	Sie kritiesiert die Noten und glaubt, dass sie nicht suplektiv und ausreichend sind.	0	0.6051587301587301
2759	51.1	Fehler in dem Notensystem	0	0.6044444444444445
2294	51.1	neue Notensysteme	0	0.6044117647058824
2445	51.1	kritiesiert Noten	0	0.6044117647058824
2689	51.1	dismotivative Noten	0	0.6019736842105263
2732	51.1	Noten sind subjektiv  Schüler mit gleiche Leistungen haben nicht die gleiche Note bekommen	0	0.600925925925926
2659	51.1	Noten sind nicht nötig.	0	0.6007081686429512
2758	51.1	klassicche Notensystem hat sie in eigenem Buch kritisiert	0	0.600219298245614
2515	51.1	nichtvergleichbare Note muss man die Schüler geben	0	0.5992857142857143
2682	51.1	Sie kulitisiert Schulnoten.	0	0.5984567901234569
2504	51.1	Noten sind unterschiedlich	0	0.5982905982905984
2520	51.1	veie beurteilung	0	0.5972222222222222
2319	51.1	Fehlerbeurteilung der Notegebung	0	0.5972222222222222
2523	51.1	Die Noten sind subjektiv  Schulnoten durch Berichte ersetzen	1	0.5958333333333333
2321	51.1	Die Noten sind nicht objektiv. Wenn es um Einschätzung geht, kommen die gleiche Noten nicht heraus.	0	0.5955387205387205
2525	51.1	Schüler sollten keine Note bekommen, aber eine andere Antwort	1	0.5944672131147541
2782	51.1	Noten sind subjektiv	0	0.5943181818181819
2349	51.1	Die Schulnoten sind sinnlos.	0	0.594047619047619
2507	51.1	Sie denkt, dass die klassiche Noteumbegung nicht relevant ist.    Staat Noten, unterstüzt sie Hinweise	1	0.5939542483660131
2774	51.1	Kritisierung im Notensystem	0	0.5925925925925926
2736	51.1	Die schulnoten demotivieren die Schulern..aus der Forschung in	0	0.5922939068100358
2291	51.1	Sie kritisiert die Schulnoten	0	0.5899425287356322
2478	51.1	Die Schulnoten sind unnotwendig	0	0.5898704789833823
2309	51.1	sind wichtg	0	0.5890151515151515
2322	51.1	Die Noten sind subjektiv. Die klasische Notengebung ist schlecht für die Shuler	0	0.5883438818565401
2696	51.1	Noten in der Schule sind wenig vergleichbar.	0	0.5882034632034632
2310	51.1	Sie kritisiert die klassische Notengebung;  Die noten sollen von zum Beispiel Entwicklungsgespräche ersetzt werden.	1	0.5880434782608696
2501	51.1	notsystem ist nicht genug	0	0.5879545454545454
2443	51.1	keine Noten  nur Schriftlliche berichte und Hinweise an Lernende, wo sie sich verbessern können	1	0.5873538011695906
2371	51.1	subjektive Noten  schriftliche Berichte	0	0.5870726495726496
2519	51.1	Freie Beurteilung	0	0.5861928104575163
2311	51.1	gegen Schullnoten	0	0.5861928104575163
2752	51.1	Noten muss nicht aufgegeben haben werdern.   Studenten sollen verscheidene Methoden  nutzen können	0	0.5857426303854876
2749	51.1	Klassische Noten zu geben macht sinn.	0	0.5844594594594595
2773	51.1	Schulern noten hängen ab vielen Faktoren	0	0.5842948717948718
2798	51.1	Note	0	0.5833333333333334
2449	51.1	Berichte	0	0.5833333333333334
2368	51.1	Noten sind nicht entscheidene für Schüler	0	0.5816525953721076
2447	51.1	klassische Noten kritisieren  Notensystem soll geändert werden	0	0.581221198156682
2799	51.1	erfahren ob, Schulung komplett  wissen welche Bereiche noch zu verbessern.	0	0.5800675675675676
2781	51.1	klasische Notensistem ist nicht gut, weil mit der kann nicht gut	0	0.5788690476190476
2440	51.1	beurbteilung der noten . Studenten können nicht in welche gebiet Problem haben	0	0.576602564102564
2538	51.1	Die Noten sind vergleichbar  Die Notegebung ist subjektiv.	0	0.5764846743295019
2302	51.1	Sie kritiesrt die Schulnotensystem.	0	0.5763528138528139
2303	51.1	Unterschiede zwischen die Noten und die eigene Vermögen der Schüler	0	0.5756041222459133
2720	51.1	Kritisiert den Schulnoten	0	0.575
2739	51.1	nicht vergleich alle die Noten für Studenten	0	0.5744463869463869
2482	51.1	für die klassischen Notengebung	0	0.5734767025089607
2797	51.1	Durch Schulnote kann einen Studenten beurteilt werden	0	0.5701931716082659
2300	51.1	Fähre Bewertung wäre nötig	0	0.5698717948717948
2448	51.1	Sie hält die Noten für unsinvoll	0	0.5694444444444445
2712	51.1	bildungs forscherin   dagegen die shulnoten ist	0	0.5681601200218221
2380	51.1	faire Beurteilung ,	0	0.5676169590643275
2347	51.1	Noten soolen nicht in Schulen bleiben	1	0.5674376299376299
2657	51.1	Nur Hinweise und Rückmeldung bekommen	1	0.5674376299376299
2763	51.1	Noten sind subjektiv  sie ist dagegen	0	0.5674376299376299
2388	51.1	Kritiserung der Noten	0	0.5670634920634922
2405	51.1	entwicklung Gäspreche	1	0.5670634920634922
2438	51.1	durch Noten keine faire Beurteilung  keine Kombination aus Noten und Kommentaren  Noten ersetzen z.B. durch Berichte	1	0.5668103448275862
2721	51.1	Noten durch Bespreschung gemessen	0	0.5656565656565657
2486	51.1	Notesystem hat manche probleme	0	0.563510101010101
2685	51.1	Noten nötig  schriftlicher Bericht	0	0.562091503267974
2715	51.1	notensystem  korretur nicht gleich	0	0.562091503267974
2468	51.1	kritik  schifliche berichten	0	0.5607142857142857
2464	51.1	Noten abschaffen	1	0.5601851851851852
2795	51.1	Schulnoten benotig	0	0.5601851851851852
2508	51.1	Something about Israel	0	0.5598484848484849
2395	51.1	auf Noten zu vezichten	1	0.5598484848484849
2441	51.1	lehrkräfte  klassische umgebung	0	0.5595674486803519
2359	51.1	Sie kritisiert die klassichen Noten System	0	0.5588924963924964
2760	51.1	Noten als Vergleichkreterium lassen	0	0.5587301587301589
2318	51.1	Das Notensystem soll völlig umgewandelt werden.	0	0.5573286052009455
2457	51.1	Noten sind als etwas subjektives betrachtet und manchmal hinwesein eigentlich nicht die Fähigkeiten des Lernendes	0	0.5567477876106195
2400	51.1	Die Schulnoten sind sehr subjektiv und unvergleichbar  Bei die selben Korrektur Aufgaben gibt es unterschiedliche Noten	0	0.5545168067226891
2697	51.1	Der Notensystem ist nicht vergleichbar, er erspricht den wirklichen Leistungen nicht, nur hinweise, Noten demotivierend sind, entwickulnggescprache ersatyt werden	0	0.5537551440329218
2533	51.1	Anhaltspunkte sollen ander	0	0.5520104895104895
2459	51.1	Die Noten durch die Entwicklungsgespräche ersetzen	1	0.5516666666666666
2313	51.1	kritisieret die klassische Notensystem  Note demotivieren den Shülern  schriftliche Berichte anstatt Noten	1	0.5499775381850854
2747	51.1	"Kritik, keine Noten, ""wo kann ich mich verbessern"", entwlickung Gespräche um die schwache Punkten zu wissen"	1	0.5498442367601246
2524	51.1	Nöten sollen nicht die Haupt  Keine Noten, sonder Hinweisen	1	0.5494078661451544
2399	51.1	N0ten Beurteilung	0	0.5491557734204793
2375	51.1	Schulnoten - Sinn oder Unsinn ?  Kritirierung über die klassischen Noten	0	0.546957671957672
2726	51.1	Kritisiert die Noten System	0	0.5467873176206509
2791	51.1	kritisiert klassische Notebuch	0	0.5467592592592593
2743	51.1	wenige vergleich  die aufgabe keine nute bekommen	0	0.5464208410636983
2649	51.1	Die Schüler sollten keine konkreten Noten, sondern nur Kommentar bekommen	1	0.5460697977821265
2487	51.1	Beurteilung, Kritik über Schulnoten	0	0.5460497835497836
2401	51.1	Sie kritisiert	0	0.5456349206349206
2394	51.1	dir art und wiese der bewertung der schuler kratisieren	0	0.544949494949495
2746	51.1	Hinweise sind besser für die Schüler und Schülerin	0	0.5449242424242424
2688	51.1	Note sind wenich vergleichen   Note sollen durch schriftliche Berichte sein	0	0.5443650793650794
2484	51.1	Schulnoten sind zu subjektive und manchmal gleiche studenten bekommen die gleiche Note nicht.	0	0.5440412186379929
2691	51.1	Schulnoten sollen durch die Kommentare ersetzt werden, die sagt, wo sich die Schüler verbessern sollen.	1	0.5436737615135673
2707	51.1	Notensystem verändern  Schuler konkrete Kommentar bekommen sollen	1	0.5426282051282051
2784	51.1	Noten in der Schule sind nicht notwendich	0	0.5420054200542005
2740	51.1	Noten system ist schlecht	0	0.5416666666666666
2751	51.1	Klassische Noten	0	0.5416666666666666
2748	51.1	Notensystem subjektiv ist	0	0.5416666666666666
2647	51.1	Kritisiert Noten	0	0.5416666666666666
2792	51.1	Einfluss der Noten für die Fähigkeit der Schüler	0	0.5405982905982906
2764	51.1	die Schuelenoten sind sinn uder unsinnvoll	0	0.5396825396825397
2741	51.1	faire Beurteiling durch verschiedene lehrer  Dass Note	0	0.5394921436588104
2518	51.1	die Noten sollrn durch etwas anders ersetz werden	1	0.5387558869701726
2503	51.1	noten spiegeln nicht immer das was schüler können	0	0.5387558869701726
2297	51.1	Noten durch schriftlichen Berichte ersetzen.	1	0.5353535353535354
2326	51.1	Frau Jansson kritisiert die Schulnoten.	0	0.5353049728049728
2742	51.1	Schulnoten sollen von schriftlichen Beratungen begleitet werden.	0	0.5347222222222222
2505	51.1	Schulnoten durch schrifltiche Berichte und Kommentare zu erstezn	1	0.5347222222222222
2534	51.1	faire Bewertung der Leistungen der Schuler  auf klassische Notensystem verzichten  stattdessen - Entwicklungsgesprache	1	0.53265065913371
2796	51.1	Fehlerbeurteilung	0	0.5318627450980392
2452	51.1	faire Noten geben  durch schriftl Berichte ersetzt werden müssen	1	0.53125
2542	51.1	Noten system	0	0.5307539682539683
2316	51.1	Fordert klare Gesprache, hinweise nach besserer Arbeit auch das noten ausfallen.	1	0.5301282051282051
2769	51.1	Deutsche Lererin	0	0.5297619047619048
2794	51.1	Notensystem komplett verzichten	1	0.5292644183773216
2451	51.1	Hinweise zur Verbesserung und Kommentar statt der Noten	1	0.5291083916083915
2317	51.1	Kritik auf die klassische Notengebung	0	0.5278403403403403
2489	51.1	Schüler nur Hinweise und Kommentare bekommen	1	0.524621212121212
2706	51.1	faire Beurteilung felht  die Noten demotivieren die Schüler	0	0.5237668405041287
2336	51.1	Die Schuler erhalten die Punkten in welchen Bereichen sie noch verbessern müssen	0	0.5222222222222223
2434	51.1	Noten sollen mit schriftliche Berichte ersetzt werdem	1	0.5199161425576521
2506	51.1	logische schluss Forderung	0	0.5192307692307693
2502	51.1	nur hinweise wo sich die kinder verbessern sollen   note demotivieredn schul noten komplet durch schrifftliche berichte erzeugen	1	0.5186011904761905
2373	51.1	Fördert der System	0	0.5138888888888888
2729	51.1	Schulnoten komplett durch Berichte oder Gespräche ersetzen	1	0.5134099616858238
2390	51.1	verbeserrung der Arbeitkräfte	0	0.5131704980842912
2737	51.1	noten system vergleincehn wenig.  korrektur funktioniert nicht glecih fur jede schuler	0	0.5125968992248062
2435	51.1	Schriftliche Kommentare/Berichte, die aufzeigen, wo Defizite sind, wo Verbeserungsmöglichkeiten sind wo Schüler gut sind	1	0.5120726495726496
2462	51.1	Schulnoten durch Gespräche mit den Schülern ersetzen	1	0.5118006993006993
2433	51.1	Statt Noten, den Schuler schriftliche Berichten geben	1	0.5104702687249857
2785	51.1	schriftliche Berichte erhalten	0	0.5097222222222223
2499	51.1	Kritiesirung der klassischen Noten	0	0.5063725490196078
2439	51.1	Schulnoten durch Berichte ersetzen	1	0.5063725490196078
2727	51.1	Hinweise geben, wo sie sich verbessern können	0	0.5055555555555555
2765	51.1	Die Noten sind sinnloss. Die Noten müssen durch Beschprechungen entsetzt werden	1	0.5051728334956183
2733	51.1	Kritik an klassischen Schulnoten	0	0.5034722222222222
2475	51.1	Die prüfungen sind immer theoretisch und die studenten bekommen verschiedene noten	0	0.5031660412757973
2522	51.1	mithilfe des berichts	0	0.501984126984127
2361	51.1	Klasischen Schulnoten sind nicht fair	0	0.49842342342342344
2650	51.1	schriftliche Berichte	1	0.498015873015873
2648	51.1	Abschaffung der Noten	1	0.4950396825396825
2354	51.1	nicht nur Hinweis	0	0.4901960784313726
2437	51.1	Schulnote ist nicht sinnig	0	0.48806980056980054
2479	51.1	bildungs forscher   bildungs forscerung	0	0.48664529914529914
2690	51.1	Das Notensystem ist unfair.	0	0.4837962962962963
2467	51.1	Schrifftliches Berichten	1	0.48115079365079366
2800	51.1	schwer zu sagen	0	0.48055555555555557
2363	51.1	Notesystem	0	0.4708333333333334
2360	51.1	notesystem	0	0.4708333333333334
2444	51.1	lehrkräfte - schuler-innen probleme	0	0.4702380952380952
2335	51.1	schulnoten müssen durch Gespräche mit den Kindern ersetzt werden.	1	0.4673951048951049
2745	51.1	Sie findet, dass die Urteilung für die Schüler häufig subjektiv ist.	0	0.4649064171122994
2756	51.1	sinn und unsinn im Schulnoten	0	0.46438834154351394
2656	51.1	Schulnoten sind nicht gut für schülern	0	0.46271929824561403
2488	51.1	Kritisch	0	0.4583333333333333
2761	51.1	Kritik	0	0.45138888888888884
2651	51.1	das Shüler ein	0	0.42321428571428577
2320	51.1	#NAME?	1	0.40972222222222227
2692	51.1	Subjektiv	0	0.39814814814814814
2772	51.1	DISKUTIEREN SINN-UNSSIN VON NOTEN   KRITISIEREN NOTENYISTEM	0	0.3016713747645951
2442	51.1	DAS HEUTIGE NOTENSYSTEM IST NICHT OBJEKTIV, BRAUCHT ÄNDERUNGEN	0	0.30085125448028677
2367	51.1	hv2	0	0.0
2290	51.1	Ä	0	0.0
