	Teilnehmer	AufgabeItem	Antwort	gesamt	öffentlichen Dienst_dist
19	2317	50.2	öffentlichen Dienst	1	0.9999999999999786
87	2464	50.2	öffentlichen Dienst	1	0.9999999999999786
92	2482	50.2	öffentlichen Dienst	1	0.9999999999999786
127	2543	50.2	öffentlichen Dienst	1	0.9999999999999786
78	2452	50.2	öffentlichen Dienst	1	0.9999999999999604
21	2319	50.2	öffentlichen Dienst	1	0.9999999999999604
81	2456	50.2	öffentlichen Dienst	1	0.9999999999999604
25	2326	50.2	öffentlichen Dienst	1	0.9999999999999604
49	2379	50.2	öffentlichen Dienst	1	0.9999999999999604
28	2329	50.2	öffentlichen Dienst	1	0.9999999999999604
168	2745	50.2	öffentlichen Dienst	1	0.9999999999999604
158	2729	50.2	öffentlichen Dienst	1	0.9999999999999604
77	2449	50.2	öffentlichen Dienst	1	0.9999999999999604
172	2749	50.2	öffentlichen Dienst	1	0.9999999999999604
159	2730	50.2	öffentlichen Dienst	1	0.9999999999999604
136	2658	50.2	öffentlichen Dienst	1	0.9999999999999604
70	2442	50.2	öffentlichen Dienst	1	0.9999999999999604
73	2445	50.2	öffentlichen Dienst	1	0.9999999999999604
82	2458	50.2	öffentlichen Dienst	1	0.9999999999999604
137	2659	50.2	öffentlichen Dienst	1	0.9999999999999604
85	2461	50.2	öffentlichen Dienst	1	0.9999999999999604
123	2534	50.2	öffentlichen Dienst	1	0.9999999999999604
143	2692	50.2	öffentlichen Dienst	1	0.9999999999999604
116	2523	50.2	öffentlichen Dienst	1	0.9999999999999604
5	2297	50.2	öffentlichen Dienst	1	0.9999999999999604
111	2516	50.2	öffentlichen Dienst	1	0.9999999999999604
7	2300	50.2	öffentlichen Dienst	1	0.9999999999999604
133	2652	50.2	öffentlichen Dienst	1	0.9999999999999604
54	2385	50.2	öffentlichen Dienst	1	0.9999999999999604
125	2536	50.2	öffentlichen Dienst	1	0.9999999999999604
97	2488	50.2	öffentlichen Dienst	1	0.9999999999999604
130	2649	50.2	öffentlichen Dienst	1	0.9999999999999604
1	2291	50.2	öffentlichen Dienst	1	0.9999999999999588
29	2331	50.2	öffentlichen Dienst	1	0.9999999999999588
142	2691	50.2	öffentlichen Dienst	1	0.9999999999999352
67	2437	50.2	öffentlichen Dienst	1	0.9999999999999352
65	2435	50.2	öffentlichen Dienst	1	0.9999999999999352
162	2733	50.2	öffentlichen Dienst	1	0.9999999999999352
146	2706	50.2	öffentlichen Dienst	1	0.9999999999999352
145	2697	50.2	öffentlichen Dienst	1	0.9999999999999352
36	2354	50.2	öffentlichen Dienst	1	0.9999999999999352
35	2349	50.2	öffentliche Dienst	1	0.9871387692508216
169	2746	50.2	öffentliche Dienst	1	0.9871387692508216
108	2509	50.2	öffentliche Dienst	1	0.9871387692508216
175	2752	50.2	öffentliche Dienst	1	0.9871387683305737
118	2525	50.2	öffentliche Dienst	1	0.987138768054393
170	2747	50.2	höffentliche Dienst	0	0.9774169662572401
72	2444	50.2	öffentliche dienst	1	0.9715893547164356
167	2740	50.2	öffentliche dienst	1	0.9715893547164356
42	2363	50.2	Öffentliche Dienst	1	0.9714524403915089
24	2322	50.2	Öffentliche Dienst	1	0.9714524403915089
153	2722	50.2	Öffentliche Dienst	1	0.9714524403915089
26	2327	50.2	öfentliche Dienst	1	0.9700749059070944
124	2535	50.2	oeffentlichen Dienst	1	0.9666263914027122
32	2336	50.2	Öfentliche Dienst	1	0.9659209748406008
45	2369	50.2	öffentlicher Dienst	1	0.9649420829320949
107	2508	50.2	öffentlicher Dienst	1	0.9649420788554867
103	2503	50.2	Öfentlichendienst	1	0.962176149786169
151	2720	50.2	Öffentlicher Dienst	1	0.9616017673887133
134	2656	50.2	Öffentlichesdienst	1	0.9529206276359209
46	2373	50.2	Öffentlichen Dienst	1	0.9514427104648208
20	2318	50.2	Öffentlichen Dienst	1	0.9514427104648208
135	2657	50.2	Öffentlichen Dienst	1	0.9514427104648208
79	2453	50.2	Öffentlichen Dienst	1	0.9514427104648208
83	2459	50.2	Öffentlichen Dienst	1	0.9514427104648208
171	2748	50.2	Öffentlichen Dienst	1	0.9514427104648208
40	2361	50.2	Öffentlichen Dienst	1	0.9514427104648208
86	2462	50.2	Öffentlichen Dienst	1	0.9514427104648208
71	2443	50.2	Öffentlichen Dienst	1	0.9514427104648208
23	2321	50.2	Öffentlichen Dienst	1	0.9514427104648208
90	2478	50.2	Öffentlichen Dienst	1	0.9514427104648208
187	2765	50.2	Öffentlichen Dienst	1	0.9514427104648208
13	2310	50.2	Öffentlichen Dienst	1	0.9514427104648208
8	2302	50.2	Öffentlichen Dienst	1	0.9514427104648208
6	2298	50.2	Öffentlichen Dienst	1	0.9514427104648208
68	2438	50.2	Öffentlichen Dienst	1	0.9514427101263614
15	2313	50.2	Öffentlichen Dienst	1	0.9514427101263614
166	2738	50.2	Öffentlichen Dienst	1	0.9514427101263614
128	2647	50.2	Öffentlichen Dienst	1	0.9514427101263614
58	2395	50.2	Öffentlichen Dienst	1	0.9514427101263614
59	2400	50.2	Öffentlichen Dienst	1	0.9514427101263614
200	2782	50.2	Öffentlichen Dienst	1	0.9514427038409589
176	2753	50.2	Öffentlichen Dienst	1	0.9514427038409589
161	2732	50.2	Öffentlichen Dienst	1	0.9514427038409589
64	2434	50.2	Öffentlichen Dienst	1	0.9514427038409589
155	2724	50.2	Öffentlichen Dienst	1	0.9514426999250398
147	2707	50.2	Öffentlichen Dienst	1	0.9514426999250398
141	2690	50.2	Öffentlichen Dienst	1	0.9514426999250398
156	2725	50.2	Öffentlichen Dienst	1	0.9514426999250398
9	2303	50.2	Öffentlichedienst	1	0.9479189295803079
131	2650	50.2	Öffentlichedienst	1	0.9479189249978519
84	2460	50.2	Öffentlichendienst	1	0.936725875971739
117	2524	50.2	Öffentlichendienst	1	0.936725875971739
10	2304	50.2	Öffentlichendienst	1	0.936725875971739
109	2514	50.2	Öffentlichendienst	1	0.9367258701799009
53	2384	50.2	Öffentlichendienst	1	0.9367258701799009
188	2767	50.2	Öffentlichendienst	1	0.9367258701799009
173	2750	50.2	Öffentlichendienst	1	0.9367258701799009
96	2487	50.2	Öffentlichendienst	1	0.9367258701799009
183	2761	50.2	Öffentlichendienst	1	0.9367258701799009
181	2759	50.2	Öffentlichendienst	1	0.9367258701799009
30	2334	50.2	Öffentlichendienst	1	0.9367258701799009
110	2515	50.2	Öffentlichendienst	1	0.9367258701799009
129	2648	50.2	Öffentlichdienst	1	0.9253720094129754
66	2436	50.2	Öffentlichdienst	1	0.9253720075573684
138	2682	50.2	Öffentlichdienst	1	0.9253720075573684
206	2789	50.2	Öffentlichdienst	1	0.9253720075573684
210	2794	50.2	Öffentlichdienst	1	0.9253720075573684
189	2768	50.2	Öffentliche	0	0.829509315979271
69	2440	50.2	öffentliche	0	0.8240764356007986
132	2651	50.2	Offenlichedienst	1	0.8159630729648851
0	2289	50.2	öffentlichen DIenst	1	0.8112774807881917
164	2736	50.2	Öffintlichen Dienst	1	0.8053788202427631
56	2391	50.2	öffintlichendienst	1	0.8013486107207209
93	2484	50.2	öffenlichen Dienst	1	0.7938824320249696
114	2521	50.2	Öffintliche Dienst	1	0.7926963909370572
199	2781	50.2	öfentliche dingst	0	0.7894982596021578
140	2689	50.2	Öffenliche Dienst	1	0.7662100508654253
11	2307	50.2	Öffitlichdiensz	0	0.7551688129785346
148	2712	50.2	öffentlichendings	0	0.749313193863442
2	2292	50.2	offentlichen Dienst	1	0.7426925121783436
22	2320	50.2	offentlichen Dienst	1	0.7426925121783436
144	2696	50.2	offentlichen Dienst	1	0.7426925121783436
139	2688	50.2	offentlichen Dienst	1	0.7426925094025173
80	2454	50.2	offentlichen Dienst	1	0.7426925094025173
100	2499	50.2	offentlichen Dienst	1	0.7426925094025173
212	2796	50.2	offentlichen Dienst	1	0.7426924502823274
48	2376	50.2	Öffentlichen DIenst	1	0.742160121721135
192	2773	50.2	öffenlichendienst	1	0.7415205566455186
38	2359	50.2	Offentlichen Dienst	1	0.7410091362509917
104	2505	50.2	Offentlichen Dienst	1	0.7410091362509917
37	2358	50.2	Offentlichen Dienst	1	0.7410091233290212
122	2532	50.2	öffentlich dinst	1	0.7391530019561744
149	2713	50.2	Offentliche Dienst	1	0.7336623589859376
207	2790	50.2	Offentliche Dienst	1	0.7336623589859376
205	2787	50.2	Offentlichendienst	1	0.730634685554193
115	2522	50.2	öffentliche Ver	0	0.7299580340676314
150	2715	50.2	Öffenliche dienst	1	0.727506542239678
76	2448	50.2	offentlichene Dienst	0	0.7268026874695679
196	2777	50.2	offentliches Dienst	1	0.7234196647246699
18	2316	50.2	offentliche Dienst	1	0.7200467047718632
44	2368	50.2	offentlichendienst	1	0.7096457482662651
113	2518	50.2	öffentllicher dienst	1	0.7025702397005121
75	2447	50.2	öffentlischen Dienst	1	0.7017243902686779
163	2735	50.2	Öffentlichending	0	0.6990189927087377
152	2721	50.2	offentlischen Dienst	1	0.6901218646911836
102	2502	50.2	offentlichen dienst	1	0.6854060139249448
50	2380	50.2	offentlichen dienst	1	0.6854060012149891
165	2737	50.2	Dienst	0	0.6848831716003146
74	2446	50.2	Öffenlichkeitsdienst	0	0.6793991999970383
106	2507	50.2	öffentlichen Diesnt	1	0.6750267821274982
198	2780	50.2	Öffentlivchendienst	1	0.657028335945876
4	2295	50.2	oeffentliechen dienst	1	0.6428666930660094
201	2783	50.2	offentlischdienst	0	0.6358613009522716
41	2362	50.2	offentlivhen dienst	1	0.6072264361158288
185	2763	50.2	Öffenlichtendienst	1	0.6041340414663664
61	2405	50.2	freien Dienst	0	0.5781195325915938
182	2760	50.2	Jobmesse	0	0.42163915249990125
193	2774	50.2	Jobmesse	0	0.4216391424964827
99	2497	50.2	Jobmesse	0	0.4216391424964827
121	2531	50.2	jobmesse	0	0.4124290382755116
190	2769	50.2	Beruf	0	0.34935464570433283
88	2467	50.2	Beruf	0	0.34935464570433283
57	2394	50.2	WORKSHAP	0	0.3400848770059395
3	2294	50.2	Workshop	0	0.326246493422917
191	2772	50.2	ÖFFENTLICHENDIENST	1	0.3207259886464089
60	2401	50.2	OFFENTLICHEN	0	0.3174460435442228
160	2731	50.2	offentliche	0	0.305813364952899
186	2764	50.2	PROGRAMMIEREN	0	0.30177103071270717
89	2477	50.2	anwendung	0	0.3011478447173047
177	2755	50.2	og	0	0.27921790603439844
101	2501	50.2	dinst	0	0.277069658598484
51	2382	50.2	OFFENTLICHEN DIENST	1	0.27340318284442544
197	2779	50.2	oofentlichen DIENST	0	0.27331852777481624
12	2308	50.2	Energieversorgungsgang	0	0.2667365341095558
55	2388	50.2	Engenierin	0	0.26046224132611884
195	2776	50.2	Energieversorgung	0	0.2564673598474725
27	2328	50.2	Energieversorgung	0	0.25646734457393183
52	2383	50.2	Energieversorgung	0	0.25646734457393183
63	2433	50.2	Energieversorgung	0	0.25646734457393183
211	2795	50.2	Energienversorgung	0	0.2561537821519362
203	2785	50.2	Energiesorgung	0	0.24603146170114099
112	2517	50.2	Energirvsergung	0	0.2449565203171491
157	2726	50.2	Energie Versorgung	0	0.24488341998431984
178	2756	50.2	offentli	0	0.237095227274027
31	2335	50.2	energieversorgung	0	0.23433518703038902
180	2758	50.2	energieversorgung	0	0.23433515486669942
126	2538	50.2	Möglichkeiten	0	0.2338431660362067
119	2527	50.2	programmieru	0	0.2267506090994157
14	2311	50.2	Ennergieversorgung	0	0.21872445487329617
94	2485	50.2	Möglichkeit	0	0.21563771581938052
202	2784	50.2	Programieren	0	0.21443298609746486
184	2762	50.2	offentliche ..	0	0.2143440824678512
209	2793	50.2	Energie	0	0.21172708084471914
17	2315	50.2	Programmieren	0	0.2104570492220157
47	2375	50.2	Programmieren	0	0.2104570492220157
154	2723	50.2	Programmieren	0	0.2104570467310598
120	2528	50.2	Programmieren	0	0.2104570348262571
16	2314	50.2	Programmieren	0	0.2104570348262571
34	2347	50.2	Programmieren	0	0.2104570348262571
204	2786	50.2	programierung	0	0.2091067452406291
208	2791	50.2	möglichkeiten	0	0.20863416002887836
194	2775	50.2	Ingeni	0	0.20376228913945837
179	2757	50.2	energieversogu	0	0.20370245204757398
62	2406	50.2	programmierung	0	0.2018587811802255
91	2479	50.2	ennergi	0	0.1973823796572176
174	2751	50.2	Programieresprache	0	0.19607463186215446
33	2337	50.2	Programmierung	0	0.19451607544638438
215	2800	50.2	Programmierung	0	0.19451607544638438
214	2798	50.2	Moglichkeit	0	0.19389051330911322
213	2797	50.2	Ingenieur	0	0.18311882937361823
43	2367	50.2	LV1	0	0.17628928799933852
98	2492	50.2	vor mittag	0	0.16966022700848882
105	2506	50.2	programische Sprachen	0	0.16835700426842326
95	2486	50.2	viel	0	0.12832229341933998
39	2360	50.2	Raum 5	0	0.11711248978627908
